Region,Product_ID,Sales_Amount,Quantity_Sold,Unit_Price,Discount,Profit_Margin,Sales_Date,Sales_Channel,Customer_Segment
North,P7004,286.07,55,5.98,0.05,0.3,2028-06-07,Wholesale,Retail
East,P7682,460.58,63,61.94,0.03,0.26,2028-06-08,Online,Small Business
West,P5099,86.7,62,53.65,0.06,0.46,2028-06-09,Wholesale,Corporate
East,P3814,912.71,76,52.06,0.04,0.2,2028-06-10,Offline,Corporate
Central,P7546,611.79,8,80.26,0.1,0.19,2028-06-11,Online,Corporate
West,P1745,925.86,81,23.26,0.23,0.12,2028-06-12,Offline,Corporate
Central,P4088,295.97,88,95.85,0.11,0.45,2028-06-13,Wholesale,Retail
East,P2772,658.72,54,81.72,0.13,0.21,2028-06-14,Wholesale,Corporate
West,P1425,209.58,63,62.63,0.29,0.29,2028-06-15,Online,Retail
South,P4899,431.62,30,95.62,0.29,0.31,2028-06-16,Wholesale,Small Business
Central,P1336,919.72,36,95.7,0.17,0.31,2028-06-17,Wholesale,Corporate
East,P8942,793.83,37,72.35,0.22,0.29,2028-06-18,Wholesale,Small Business
Central,P3641,440.26,70,16.65,0.07,0.09,2028-06-19,Offline,Small Business
West,P5495,642.52,41,59.36,0.21,0.3,2028-06-20,Wholesale,Corporate
North,P8589,826.94,37,34.89,0.29,0.24,2028-06-21,Online,Small Business
North,P1036,60.24,77,85.63,0.01,0.05,2028-06-22,Wholesale,Corporate
West,P8168,280.1,71,81.71,0.13,0.05,2028-06-23,Online,Retail
South,P8150,659.72,21,20.62,0.27,0.19,2028-06-24,Offline,Small Business
East,P6172,211.11,91,96.69,0.3,0.31,2028-06-25,Offline,Retail
East,P9593,476.84,69,63.35,0.15,0.11,2028-06-26,Offline,Retail
West,P1001,575.19,9,78.21,0.02,0.47,2028-06-27,Offline,Small Business
West,P4871,301.23,57,68.41,0.01,0.31,2028-06-28,Offline,Small Business
East,P7448,128.25,12,64.19,0.06,0.33,2028-06-29,Offline,Small Business
Central,P6051,73.53,45,35.6,0.2,0.21,2028-06-30,Wholesale,Small Business
East,P2016,550.21,43,20.07,0.26,0.4,2028-07-01,Wholesale,Corporate
South,P6694,91.75,36,56.57,0.08,0.21,2028-07-02,Online,Small Business
West,P5270,495.12,50,94.91,0.06,0.08,2028-07-03,Wholesale,Small Business
South,P1763,276.04,66,21.71,0.24,0.2,2028-07-04,Wholesale,Retail
South,P2619,265.18,13,7.97,0.13,0.48,2028-07-05,Online,Retail
North,P7736,847.47,70,99.88,0.04,0.26,2028-07-06,Offline,Corporate
North,P2924,928.65,44,15.21,0.22,0.11,2028-07-07,Offline,Retail
East,P5435,364.32,70,12.9,0.18,0.19,2028-07-08,Wholesale,Small Business
East,P6709,945.72,27,14.78,0.23,0.11,2028-07-09,Online,Small Business
South,P4078,228.54,69,75.0,0.16,0.41,2028-07-10,Online,Corporate
South,P3724,160.44,71,93.38,0.03,0.5,2028-07-11,Wholesale,Retail
North,P2713,329.95,57,56.6,0.09,0.39,2028-07-12,Wholesale,Small Business
North,P9528,667.55,42,99.52,0.28,0.08,2028-07-13,Online,Retail
East,P2005,775.83,55,27.34,0.16,0.32,2028-07-14,Wholesale,Small Business
East,P4238,56.46,47,58.33,0.1,0.23,2028-07-15,Offline,Corporate
North,P8511,387.15,75,60.64,0.07,0.48,2028-07-16,Offline,Small Business
West,P2006,281.47,86,85.89,0.07,0.19,2028-07-17,Online,Corporate
Central,P2340,264.75,73,20.67,0.0,0.22,2028-07-18,Wholesale,Small Business
East,P5124,414.39,70,47.45,0.02,0.48,2028-07-19,Wholesale,Corporate
Central,P3698,797.61,58,14.11,0.21,0.16,2028-07-20,Online,Retail
North,P7141,482.79,52,14.57,0.04,0.35,2028-07-21,Wholesale,Small Business
West,P8423,301.47,61,99.98,0.25,0.28,2028-07-22,Online,Small Business
West,P1381,558.26,18,39.5,0.11,0.35,2028-07-23,Offline,Small Business
South,P9665,923.97,22,92.43,0.12,0.24,2028-07-24,Offline,Corporate
East,P5034,834.29,43,11.63,0.28,0.27,2028-07-25,Offline,Retail
East,P8242,327.81,31,79.23,0.23,0.45,2028-07-26,Wholesale,Small Business
East,P6348,794.33,73,74.95,0.14,0.4,2028-07-27,Wholesale,Corporate
North,P2253,274.05,75,47.18,0.03,0.24,2028-07-28,Wholesale,Retail
Central,P2209,587.84,3,25.15,0.28,0.24,2028-07-29,Offline,Retail
Central,P9577,317.13,84,76.97,0.01,0.22,2028-07-30,Online,Small Business
Central,P7525,529.56,62,21.68,0.14,0.41,2028-07-31,Wholesale,Corporate
East,P9122,323.58,42,58.43,0.08,0.43,2028-08-01,Online,Retail
Central,P3795,562.3,45,29.1,0.18,0.31,2028-08-02,Wholesale,Corporate
North,P6514,829.62,46,72.83,0.04,0.18,2028-08-03,Online,Small Business
North,P8843,879.71,63,14.24,0.12,0.45,2028-08-04,Offline,Small Business
Central,P3910,255.76,41,55.91,0.08,0.13,2028-08-05,Offline,Retail
South,P6471,440.84,29,17.69,0.04,0.32,2028-08-06,Offline,Retail
West,P5218,905.76,31,64.1,0.01,0.33,2028-08-07,Offline,Corporate
South,P9290,72.61,45,42.61,0.04,0.1,2028-08-08,Online,Corporate
Central,P3630,107.57,96,91.29,0.15,0.43,2028-08-09,Wholesale,Small Business
Central,P6095,114.54,4,8.07,0.25,0.36,2028-08-10,Wholesale,Corporate
West,P3675,87.61,54,62.39,0.21,0.36,2028-08-11,Offline,Small Business
North,P1420,863.2,43,26.22,0.27,0.12,2028-08-12,Online,Corporate
Central,P5153,546.85,18,30.33,0.23,0.22,2028-08-13,Offline,Retail
East,P5685,520.48,35,82.47,0.11,0.08,2028-08-14,Wholesale,Corporate
South,P3745,73.96,77,58.62,0.08,0.18,2028-08-15,Offline,Small Business
North,P4224,771.73,35,51.84,0.05,0.27,2028-08-16,Online,Corporate
Central,P4018,664.89,62,94.96,0.12,0.37,2028-08-17,Wholesale,Corporate
South,P5663,565.61,85,7.29,0.06,0.17,2028-08-18,Wholesale,Small Business
Central,P1835,381.03,6,91.02,0.13,0.09,2028-08-19,Offline,Retail
North,P2085,413.44,26,26.89,0.29,0.19,2028-08-20,Online,Small Business
North,P3396,534.07,31,29.0,0.19,0.34,2028-08-21,Online,Corporate
East,P2585,988.2,66,52.67,0.25,0.47,2028-08-22,Wholesale,Retail
Central,P3450,855.17,44,68.79,0.25,0.19,2028-08-23,Online,Retail
East,P2401,614.09,34,97.91,0.15,0.21,2028-08-24,Offline,Corporate
North,P5886,412.24,94,37.29,0.06,0.18,2028-08-25,Online,Corporate
East,P3916,586.76,58,77.7,0.3,0.17,2028-08-26,Wholesale,Small Business
West,P4581,138.0,84,50.32,0.04,0.22,2028-08-27,Online,Corporate
Central,P9004,738.49,44,65.33,0.1,0.44,2028-08-28,Online,Retail
West,P1483,765.85,22,44.82,0.04,0.33,2028-08-29,Online,Retail
South,P1374,995.86,87,18.29,0.07,0.49,2028-08-30,Offline,Retail
Central,P8210,857.25,46,22.66,0.06,0.25,2028-08-31,Wholesale,Small Business
Central,P1023,902.08,21,89.02,0.09,0.37,2028-09-01,Wholesale,Retail
North,P4255,600.93,45,28.58,0.2,0.38,2028-09-02,Online,Corporate
South,P8707,519.22,95,73.11,0.11,0.1,2028-09-03,Offline,Retail
East,P9692,417.2,51,48.59,0.28,0.3,2028-09-04,Wholesale,Small Business
Central,P9637,966.09,58,79.2,0.26,0.33,2028-09-05,Online,Corporate
South,P6292,463.43,35,10.9,0.1,0.21,2028-09-06,Wholesale,Small Business
West,P1235,462.75,16,98.44,0.01,0.17,2028-09-07,Offline,Retail
West,P6607,463.96,58,87.14,0.04,0.46,2028-09-08,Online,Retail
Central,P3255,427.61,75,36.89,0.07,0.06,2028-09-09,Offline,Corporate
East,P7672,373.67,95,93.85,0.3,0.26,2028-09-10,Wholesale,Corporate
East,P6856,417.46,10,83.0,0.21,0.12,2028-09-11,Offline,Small Business
South,P1319,813.41,26,19.32,0.02,0.08,2028-09-12,Offline,Small Business
West,P2573,430.98,62,62.43,0.21,0.18,2028-09-13,Online,Retail
East,P6644,86.45,23,8.41,0.11,0.11,2028-09-14,Online,Small Business
South,P3376,893.64,84,34.44,0.19,0.27,2028-09-15,Wholesale,Corporate
West,P8898,484.27,31,96.16,0.0,0.11,2028-09-16,Offline,Small Business
North,P4291,975.25,42,85.31,0.25,0.31,2028-09-17,Offline,Small Business
West,P2413,616.3,54,77.1,0.18,0.06,2028-09-18,Wholesale,Small Business
West,P4210,109.63,44,64.4,0.16,0.26,2028-09-19,Wholesale,Small Business
East,P6429,963.01,58,14.38,0.06,0.5,2028-09-20,Offline,Corporate
West,P5921,206.04,45,52.61,0.1,0.09,2028-09-21,Wholesale,Small Business
Central,P5290,169.26,78,73.2,0.24,0.3,2028-09-22,Offline,Retail
East,P4086,451.38,98,50.87,0.25,0.31,2028-09-23,Online,Small Business
East,P9372,560.51,2,26.37,0.14,0.47,2028-09-24,Wholesale,Small Business
East,P1790,314.35,80,38.83,0.28,0.17,2028-09-25,Offline,Small Business
North,P7270,958.35,35,66.74,0.03,0.23,2028-09-26,Offline,Corporate
North,P9789,515.42,7,52.96,0.08,0.33,2028-09-27,Offline,Retail
West,P8785,118.56,95,80.89,0.08,0.45,2028-09-28,Wholesale,Small Business
North,P7887,787.5,59,91.4,0.15,0.43,2028-09-29,Online,Corporate
North,P5957,616.47,83,38.26,0.21,0.32,2028-09-30,Offline,Corporate
East,P6470,780.29,63,62.11,0.09,0.17,2028-10-01,Offline,Corporate
South,P9743,972.22,89,62.98,0.15,0.37,2028-10-02,Offline,Small Business
South,P1568,654.57,94,79.18,0.19,0.41,2028-10-03,Wholesale,Retail
South,P1139,978.52,92,80.4,0.06,0.18,2028-10-04,Offline,Small Business
South,P7505,243.41,28,13.04,0.26,0.09,2028-10-05,Offline,Corporate
West,P7545,654.04,53,18.72,0.02,0.22,2028-10-06,Wholesale,Small Business
Central,P1864,144.43,85,33.97,0.03,0.21,2028-10-07,Offline,Small Business
Central,P5441,87.16,78,68.13,0.26,0.43,2028-10-08,Offline,Retail
North,P3910,166.66,7,68.56,0.13,0.31,2028-10-09,Wholesale,Retail
South,P8953,514.01,75,65.84,0.19,0.33,2028-10-10,Offline,Retail
North,P2653,816.35,94,37.56,0.03,0.09,2028-10-11,Wholesale,Corporate
North,P1824,461.39,28,39.81,0.14,0.23,2028-10-12,Online,Retail
Central,P7572,936.15,11,47.56,0.28,0.09,2028-10-13,Offline,Small Business
East,P6711,668.77,40,81.53,0.06,0.35,2028-10-14,Offline,Corporate
North,P1111,188.3,43,49.93,0.18,0.08,2028-10-15,Offline,Retail
North,P4387,667.59,88,26.36,0.11,0.29,2028-10-16,Online,Small Business
North,P1250,851.68,24,64.61,0.07,0.49,2028-10-17,Online,Small Business
East,P1917,836.13,91,15.07,0.14,0.39,2028-10-18,Offline,Retail
North,P3039,372.8,57,7.03,0.1,0.4,2028-10-19,Wholesale,Retail
South,P4159,416.09,81,99.83,0.19,0.31,2028-10-20,Offline,Retail
South,P2413,172.8,38,94.89,0.26,0.27,2028-10-21,Wholesale,Small Business
North,P7445,764.89,92,39.29,0.01,0.26,2028-10-22,Wholesale,Retail
North,P9938,219.77,14,94.15,0.06,0.41,2028-10-23,Offline,Corporate
North,P2241,445.79,18,63.92,0.29,0.44,2028-10-24,Online,Small Business
East,P8416,86.96,34,91.96,0.26,0.46,2028-10-25,Wholesale,Retail
North,P9532,620.9,45,60.94,0.13,0.09,2028-10-26,Offline,Corporate
East,P5864,259.54,44,55.0,0.25,0.33,2028-10-27,Offline,Corporate
South,P7116,901.97,3,23.45,0.09,0.17,2028-10-28,Wholesale,Small Business
South,P7626,864.46,27,15.59,0.16,0.15,2028-10-29,Offline,Small Business
North,P4425,866.61,83,9.18,0.07,0.23,2028-10-30,Online,Retail
Central,P7453,233.01,39,90.84,0.09,0.16,2028-10-31,Wholesale,Small Business
North,P4748,689.25,72,75.17,0.15,0.07,2028-11-01,Online,Corporate
East,P2016,670.53,32,45.25,0.15,0.22,2028-11-02,Wholesale,Corporate
North,P8634,90.57,96,22.87,0.21,0.25,2028-11-03,Online,Small Business
South,P9475,874.61,84,45.47,0.17,0.06,2028-11-04,Wholesale,Corporate
East,P5085,922.31,81,14.08,0.1,0.12,2028-11-05,Offline,Corporate
North,P9135,922.67,93,85.92,0.27,0.22,2028-11-06,Offline,Small Business
North,P7941,234.12,69,74.54,0.27,0.09,2028-11-07,Online,Corporate
East,P2613,347.46,40,87.56,0.19,0.18,2028-11-08,Wholesale,Retail
South,P3717,256.33,80,91.47,0.13,0.26,2028-11-09,Online,Small Business
Central,P7586,233.81,77,86.84,0.06,0.15,2028-11-10,Online,Small Business
West,P7890,380.02,38,65.91,0.25,0.33,2028-11-11,Online,Retail
Central,P8323,785.84,51,88.39,0.05,0.4,2028-11-12,Online,Retail
East,P8653,418.1,98,47.32,0.05,0.15,2028-11-13,Online,Small Business
East,P1045,151.13,67,33.07,0.15,0.09,2028-11-14,Online,Small Business
Central,P8803,496.54,17,83.97,0.15,0.2,2028-11-15,Online,Retail
West,P1617,345.29,27,49.71,0.15,0.28,2028-11-16,Online,Retail
Central,P6381,64.55,53,53.39,0.01,0.21,2028-11-17,Online,Small Business
West,P5537,585.84,56,91.49,0.22,0.44,2028-11-18,Online,Corporate
Central,P1272,64.81,92,92.65,0.1,0.2,2028-11-19,Offline,Corporate
North,P5689,212.17,47,67.35,0.14,0.14,2028-11-20,Wholesale,Retail
East,P5404,205.37,75,72.95,0.12,0.47,2028-11-21,Offline,Retail
East,P8871,805.67,70,69.54,0.27,0.21,2028-11-22,Offline,Retail
South,P6940,981.56,52,8.62,0.22,0.3,2028-11-23,Online,Small Business
South,P2888,95.64,76,91.55,0.23,0.38,2028-11-24,Online,Small Business
Central,P4821,357.18,84,98.82,0.11,0.13,2028-11-25,Online,Small Business
West,P6138,877.28,56,22.87,0.01,0.45,2028-11-26,Offline,Corporate
South,P3998,813.57,68,87.09,0.24,0.11,2028-11-27,Offline,Corporate
Central,P5261,334.72,22,12.34,0.25,0.38,2028-11-28,Online,Retail
West,P8404,857.64,46,9.87,0.12,0.19,2028-11-29,Wholesale,Small Business
West,P7138,754.77,3,45.43,0.07,0.16,2028-11-30,Wholesale,Retail
East,P6491,403.88,66,46.65,0.23,0.11,2028-12-01,Wholesale,Corporate
East,P3560,579.09,69,87.55,0.07,0.16,2028-12-02,Online,Corporate
Central,P9280,976.93,25,71.24,0.04,0.08,2028-12-03,Online,Corporate
East,P9319,857.62,72,25.09,0.22,0.08,2028-12-04,Wholesale,Corporate
North,P3145,754.83,13,99.33,0.15,0.47,2028-12-05,Online,Corporate
South,P5108,878.3,28,80.39,0.06,0.06,2028-12-06,Offline,Retail
South,P9992,300.45,10,53.94,0.04,0.06,2028-12-07,Wholesale,Corporate
North,P3203,670.35,93,11.95,0.03,0.13,2028-12-08,Offline,Small Business
South,P1067,944.94,50,68.15,0.01,0.34,2028-12-09,Offline,Corporate
Central,P2366,200.24,70,16.22,0.3,0.09,2028-12-10,Wholesale,Small Business
Central,P1549,938.89,26,98.32,0.1,0.1,2028-12-11,Offline,Corporate
Central,P5176,301.98,62,30.18,0.3,0.32,2028-12-12,Wholesale,Corporate
Central,P2123,537.54,61,77.31,0.21,0.11,2028-12-13,Offline,Retail
Central,P9578,247.1,53,96.29,0.19,0.33,2028-12-14,Offline,Retail
West,P6100,876.75,42,50.07,0.29,0.26,2028-12-15,Online,Small Business
North,P3563,265.8,21,82.37,0.01,0.35,2028-12-16,Online,Retail
East,P4235,210.56,57,92.98,0.08,0.22,2028-12-17,Online,Small Business
Central,P4282,884.95,13,83.0,0.04,0.19,2028-12-18,Online,Retail
West,P8237,793.91,28,99.29,0.28,0.45,2028-12-19,Wholesale,Corporate
West,P7031,97.45,41,76.46,0.0,0.29,2028-12-20,Wholesale,Corporate
West,P1327,802.7,43,34.83,0.19,0.36,2028-12-21,Offline,Corporate
Central,P9862,943.77,78,34.86,0.26,0.29,2028-12-22,Offline,Corporate
Central,P9544,125.84,88,36.29,0.11,0.25,2028-12-23,Wholesale,Retail
West,P3357,967.18,1,97.7,0.27,0.31,2028-12-24,Online,Small Business
North,P5183,452.96,76,23.25,0.2,0.46,2028-12-25,Wholesale,Corporate
East,P4059,292.79,86,44.57,0.17,0.23,2028-12-26,Online,Retail
East,P9823,65.29,18,44.95,0.21,0.17,2028-12-27,Offline,Corporate
North,P5835,967.63,17,20.15,0.21,0.21,2028-12-28,Offline,Corporate
Central,P7065,171.18,80,58.69,0.06,0.25,2028-12-29,Offline,Small Business
South,P2073,378.89,33,46.2,0.06,0.41,2028-12-30,Offline,Retail
Central,P5051,924.95,93,33.76,0.26,0.33,2028-12-31,Wholesale,Small Business
West,P7282,388.21,38,78.23,0.14,0.26,2029-01-01,Offline,Small Business
West,P6224,211.64,39,31.11,0.05,0.25,2029-01-02,Wholesale,Small Business
West,P9583,436.15,32,73.28,0.19,0.47,2029-01-03,Offline,Corporate
South,P3137,441.97,16,43.13,0.24,0.11,2029-01-04,Online,Retail
North,P1262,749.55,85,65.66,0.12,0.47,2029-01-05,Wholesale,Retail
South,P9930,426.32,27,35.86,0.06,0.41,2029-01-06,Wholesale,Small Business
South,P8901,90.73,83,87.28,0.28,0.44,2029-01-07,Offline,Small Business
East,P1551,998.98,41,40.52,0.24,0.2,2029-01-08,Wholesale,Corporate
West,P3975,468.34,16,67.59,0.16,0.46,2029-01-09,Offline,Corporate
North,P3925,923.79,39,78.35,0.06,0.31,2029-01-10,Offline,Retail
East,P8298,728.62,37,96.39,0.1,0.16,2029-01-11,Online,Small Business
West,P4617,421.44,85,32.93,0.25,0.08,2029-01-12,Offline,Retail
West,P9206,699.83,58,45.77,0.06,0.26,2029-01-13,Wholesale,Corporate
East,P3179,824.66,81,35.94,0.15,0.25,2029-01-14,Offline,Corporate
East,P2905,428.57,77,98.86,0.13,0.46,2029-01-15,Online,Small Business
South,P9158,981.81,69,5.45,0.28,0.19,2029-01-16,Online,Retail
West,P7373,969.18,11,90.91,0.17,0.41,2029-01-17,Wholesale,Retail
West,P8575,825.71,44,10.09,0.18,0.07,2029-01-18,Wholesale,Corporate
Central,P3285,208.86,14,66.33,0.07,0.42,2029-01-19,Offline,Corporate
South,P2807,360.29,37,33.75,0.2,0.14,2029-01-20,Offline,Corporate
North,P8255,395.11,60,36.63,0.29,0.07,2029-01-21,Wholesale,Corporate
North,P3100,55.98,79,32.19,0.12,0.42,2029-01-22,Online,Small Business
South,P1786,280.18,35,49.76,0.07,0.24,2029-01-23,Wholesale,Retail
North,P2785,618.11,24,7.43,0.23,0.28,2029-01-24,Wholesale,Small Business
East,P5344,862.28,22,69.95,0.22,0.27,2029-01-25,Online,Retail
West,P4537,399.2,88,8.7,0.01,0.06,2029-01-26,Wholesale,Corporate
Central,P6760,473.29,55,31.56,0.04,0.27,2029-01-27,Offline,Small Business
South,P4464,992.82,77,36.09,0.27,0.39,2029-01-28,Offline,Small Business
East,P2598,842.63,22,83.91,0.22,0.18,2029-01-29,Online,Retail
North,P7038,160.97,2,31.68,0.03,0.34,2029-01-30,Online,Retail
West,P2327,512.37,73,85.84,0.15,0.29,2029-01-31,Wholesale,Corporate
Central,P2072,570.82,19,34.07,0.03,0.45,2029-02-01,Wholesale,Small Business
East,P9778,171.64,19,37.28,0.24,0.5,2029-02-02,Wholesale,Corporate
West,P8690,914.64,85,26.32,0.24,0.46,2029-02-03,Offline,Retail
North,P9618,466.1,55,80.25,0.06,0.15,2029-02-04,Online,Small Business
South,P9816,706.47,70,95.09,0.09,0.3,2029-02-05,Online,Corporate
North,P6872,928.0,47,57.45,0.28,0.05,2029-02-06,Online,Small Business
East,P8630,356.28,59,34.44,0.01,0.26,2029-02-07,Online,Retail
East,P7075,362.81,69,42.96,0.26,0.35,2029-02-08,Online,Corporate
South,P8659,187.06,20,78.87,0.27,0.12,2029-02-09,Online,Small Business
South,P5816,208.25,49,84.62,0.17,0.17,2029-02-10,Offline,Corporate
West,P6105,954.14,63,72.73,0.06,0.26,2029-02-11,Wholesale,Corporate
Central,P4678,639.47,92,49.21,0.08,0.48,2029-02-12,Wholesale,Corporate
Central,P1782,862.73,98,68.54,0.02,0.22,2029-02-13,Online,Small Business
West,P8093,566.44,62,61.6,0.03,0.07,2029-02-14,Online,Corporate
West,P7584,69.84,18,84.47,0.06,0.19,2029-02-15,Wholesale,Retail
Central,P9451,101.08,40,42.8,0.27,0.47,2029-02-16,Wholesale,Corporate
West,P2961,117.11,99,14.65,0.02,0.13,2029-02-17,Wholesale,Corporate
West,P1770,618.95,92,33.99,0.25,0.35,2029-02-18,Offline,Corporate
South,P2650,386.97,24,79.52,0.25,0.3,2029-02-19,Wholesale,Small Business
Central,P9872,772.93,96,66.94,0.13,0.41,2029-02-20,Wholesale,Retail
North,P9305,606.99,48,17.56,0.11,0.49,2029-02-21,Offline,Corporate
North,P4132,978.58,49,6.95,0.17,0.45,2029-02-22,Online,Corporate
East,P1294,851.47,8,74.28,0.2,0.29,2029-02-23,Wholesale,Retail
Central,P1637,187.73,24,8.53,0.07,0.47,2029-02-24,Offline,Corporate
Central,P3092,76.92,6,30.13,0.18,0.07,2029-02-25,Offline,Small Business
West,P7046,190.46,47,20.98,0.04,0.18,2029-02-26,Online,Corporate
East,P9544,873.06,36,15.55,0.16,0.16,2029-02-27,Wholesale,Corporate
West,P7487,268.37,67,63.45,0.15,0.47,2029-02-28,Online,Retail
Central,P2105,581.1,80,16.63,0.02,0.07,2029-03-01,Wholesale,Small Business
South,P1003,831.09,1,6.83,0.26,0.1,2029-03-02,Offline,Corporate
North,P8986,236.9,70,13.74,0.08,0.2,2029-03-03,Offline,Small Business
West,P9409,56.55,57,58.03,0.28,0.18,2029-03-04,Online,Retail
South,P2826,239.54,15,91.2,0.11,0.43,2029-03-05,Offline,Small Business
East,P3845,997.96,40,5.29,0.23,0.08,2029-03-06,Offline,Retail
East,P8580,564.87,53,71.86,0.13,0.14,2029-03-07,Online,Corporate
North,P2714,521.06,32,64.53,0.19,0.29,2029-03-08,Wholesale,Retail
North,P5225,613.21,7,24.68,0.24,0.28,2029-03-09,Wholesale,Corporate
West,P2279,555.04,36,22.63,0.01,0.13,2029-03-10,Wholesale,Small Business
South,P6050,678.27,24,55.04,0.26,0.13,2029-03-11,Wholesale,Corporate
Central,P5535,766.95,94,98.55,0.24,0.31,2029-03-12,Wholesale,Small Business
East,P6754,305.26,21,40.52,0.29,0.09,2029-03-13,Offline,Corporate
East,P1531,119.83,27,21.79,0.24,0.16,2029-03-14,Online,Retail
North,P1513,706.32,92,13.58,0.03,0.36,2029-03-15,Online,Small Business
West,P3219,510.76,67,43.18,0.17,0.49,2029-03-16,Wholesale,Small Business
South,P7890,979.66,81,16.23,0.18,0.33,2029-03-17,Wholesale,Corporate
North,P1590,361.31,18,86.81,0.11,0.42,2029-03-18,Offline,Small Business
Central,P1600,182.68,9,75.53,0.09,0.4,2029-03-19,Online,Corporate
South,P5412,539.37,9,26.03,0.15,0.39,2029-03-20,Wholesale,Small Business
North,P4424,939.98,38,32.66,0.13,0.27,2029-03-21,Online,Corporate
West,P8107,533.49,15,34.58,0.0,0.43,2029-03-22,Online,Small Business
North,P5018,182.6,56,9.62,0.18,0.12,2029-03-23,Online,Corporate
East,P3156,986.18,21,17.79,0.07,0.4,2029-03-24,Wholesale,Small Business
North,P3046,824.32,8,80.86,0.1,0.4,2029-03-25,Wholesale,Retail
Central,P3963,497.95,26,17.65,0.18,0.15,2029-03-26,Online,Retail
East,P3621,792.87,90,56.2,0.03,0.06,2029-03-27,Wholesale,Corporate
Central,P3688,433.33,75,13.89,0.3,0.12,2029-03-28,Online,Retail
North,P3538,380.66,45,29.4,0.26,0.07,2029-03-29,Online,Small Business
North,P8855,313.87,17,43.44,0.0,0.32,2029-03-30,Wholesale,Corporate
South,P7781,806.4,84,62.21,0.14,0.26,2029-03-31,Online,Small Business
North,P6224,807.15,60,25.13,0.24,0.12,2029-04-01,Offline,Retail
South,P8704,816.49,69,28.47,0.2,0.23,2029-04-02,Online,Small Business
West,P2682,290.93,23,86.59,0.13,0.47,2029-04-03,Offline,Corporate
Central,P5815,728.71,24,74.98,0.14,0.36,2029-04-04,Wholesale,Corporate
West,P1965,571.69,63,58.11,0.13,0.48,2029-04-05,Online,Small Business
Central,P9440,270.76,39,22.9,0.21,0.33,2029-04-06,Online,Small Business
East,P5579,55.24,90,16.58,0.02,0.27,2029-04-07,Online,Retail
Central,P3677,644.07,84,62.69,0.11,0.22,2029-04-08,Online,Small Business
East,P7612,616.81,26,36.93,0.06,0.22,2029-04-09,Online,Retail
Central,P1830,620.06,24,45.39,0.17,0.31,2029-04-10,Wholesale,Corporate
South,P3446,994.74,89,33.82,0.29,0.35,2029-04-11,Online,Retail
West,P3547,811.46,24,14.54,0.25,0.08,2029-04-12,Wholesale,Corporate
Central,P8240,810.49,27,36.25,0.17,0.26,2029-04-13,Offline,Small Business
Central,P4516,987.06,73,61.05,0.29,0.42,2029-04-14,Online,Corporate
South,P9087,962.44,10,46.97,0.02,0.06,2029-04-15,Online,Corporate
South,P4945,346.94,62,86.75,0.22,0.05,2029-04-16,Online,Retail
South,P3352,721.71,25,67.04,0.19,0.18,2029-04-17,Wholesale,Retail
Central,P2740,530.5,79,83.8,0.13,0.05,2029-04-18,Online,Small Business
East,P6917,925.5,86,84.82,0.28,0.4,2029-04-19,Online,Small Business
West,P6386,639.25,70,75.76,0.11,0.32,2029-04-20,Offline,Corporate
South,P1887,930.21,79,28.96,0.07,0.36,2029-04-21,Online,Small Business
West,P8391,658.89,7,79.62,0.03,0.09,2029-04-22,Offline,Small Business
South,P9956,926.67,97,45.55,0.02,0.13,2029-04-23,Online,Corporate
West,P3270,406.0,17,56.46,0.09,0.27,2029-04-24,Wholesale,Small Business
West,P4236,212.91,62,19.94,0.15,0.3,2029-04-25,Online,Retail
Central,P7677,683.9,21,30.7,0.22,0.13,2029-04-26,Offline,Corporate
East,P2523,542.77,96,47.42,0.19,0.29,2029-04-27,Online,Retail
South,P5319,914.54,55,27.99,0.04,0.16,2029-04-28,Wholesale,Small Business
North,P2405,378.05,4,54.65,0.23,0.48,2029-04-29,Offline,Corporate
East,P6203,853.38,55,84.04,0.02,0.34,2029-04-30,Offline,Small Business
East,P6459,935.07,56,61.56,0.23,0.14,2029-05-01,Online,Corporate
North,P5569,400.53,33,29.75,0.2,0.18,2029-05-02,Offline,Corporate
East,P6649,948.11,70,62.91,0.07,0.08,2029-05-03,Online,Small Business
West,P6376,260.4,86,74.34,0.27,0.14,2029-05-04,Offline,Small Business
South,P2105,391.48,44,12.65,0.11,0.18,2029-05-05,Offline,Corporate
South,P3681,161.46,39,58.16,0.16,0.1,2029-05-06,Online,Small Business
East,P4788,622.46,45,13.11,0.21,0.08,2029-05-07,Offline,Corporate
West,P1486,595.49,89,57.98,0.09,0.16,2029-05-08,Offline,Small Business
West,P2993,910.32,73,86.83,0.18,0.06,2029-05-09,Online,Small Business
East,P8993,686.4,41,6.4,0.14,0.09,2029-05-10,Wholesale,Corporate
South,P9665,101.9,19,27.76,0.13,0.44,2029-05-11,Offline,Small Business
West,P7583,869.34,95,78.69,0.07,0.32,2029-05-12,Offline,Retail
South,P3057,543.53,45,11.25,0.12,0.09,2029-05-13,Offline,Retail
East,P3667,833.73,71,17.45,0.05,0.09,2029-05-14,Online,Small Business
West,P5039,815.05,17,50.3,0.1,0.31,2029-05-15,Wholesale,Small Business
Central,P1301,418.35,92,76.75,0.05,0.05,2029-05-16,Offline,Small Business
Central,P8405,827.67,81,50.68,0.02,0.38,2029-05-17,Offline,Corporate
North,P9615,937.04,5,52.9,0.2,0.32,2029-05-18,Wholesale,Retail
